Gender,Online_Shopping_Freq,Online_Purchase_Proportion,Review_Check_Freq,Attraction_Factor,Retailer_Choice_Factors,Preferred_Payment,Local_vs_Intl_Retailers,Preferred_Marketplace,Security_Concern_Level,Promo_Participation,Price_Sensitivity,Comfortable_Price_Range,Frequent_Products,Major_Drawback,Authenticity_Concern,Desired_Improvements
Male,Rarely or Never,0-20 %,Frequently,Ease and Comfort of shopping from home,Product reviews and ratings,Other digital wallets,"No preference, depends on the product",Daraz,Somewhat concerned,Occasionally participate,Moderately price-sensitive,1k to 5k,Home  Appliances and furniture,"Yes, issues with product quality","Mostly confident, with occasional concerns","Improved search and filtering options, Enhanced customer reviews and ratings system, More personalized recommendations"
Male,Multiple times per week,81-100%,Always,Wide variety of products,Price and discounts,Cash on delivery (if available),"No preference, depends on the product",Amazon,Very concerned,Always take advantage of promotions and discounts,Extremely price-sensitive,more than 10k,Electronics and gadgets,"Yes, issues with product quality","Mostly confident, with occasional concerns",Better product descriptions and images
Male,Rarely or Never,0-20 %,Frequently,Ease and Comfort of shopping from home,Product reviews and ratings,Cash on delivery (if available),"No preference, depends on the product",AliExpress,Very concerned,Rarely or Never participate,Extremely price-sensitive,1k to 5k,Sports,"No, I have not experienced any drawbacks","Mostly confident, with occasional concerns",Better product descriptions and images
Male,Rarely or Never,0-20 %,Always,Attractive discounts and promotions,Product reviews and ratings,Cash on delivery (if available),Prefer local retailers,Daraz,Somewhat concerned,Rarely or Never participate,Extremely price-sensitive,less than 1k,Electronics and gadgets,"Yes, issues with product quality",Neutral or unsure,More personalized recommendations
Male,Rarely or Never,0-20 %,Frequently,Ease and Comfort of shopping from home,Price and discounts,Cash on delivery (if available),Prefer local retailers,Daraz,Somewhat concerned,Always take advantage of promotions and discounts,Extremely price-sensitive,1k to 5k,Electronics and gadgets,"No, I have not experienced any drawbacks","Mostly confident, with occasional concerns","Better product descriptions and images, Improved search and filtering options, Enhanced customer reviews and ratings system, More personalized recommendations"
Male,Once in a month,0-20 %,Frequently,Attractive discounts and promotions,Customer service and support,Cash on delivery (if available),Prefer local retailers,Daraz,Very concerned,Frequently participate,Moderately price-sensitive,1k to 5k,Electronics and gadgets,"Yes, issues with product quality","Mostly confident, with occasional concerns",Enhanced customer reviews and ratings system
Female,Once in a month,21-40 %,Always,Ease and Comfort of shopping from home,Product reviews and ratings,Cash on delivery (if available),"No preference, depends on the product",Daraz,Very concerned,Frequently participate,Moderately price-sensitive,5k to 10k,Clothing and fashion accessories,"Yes, issues with product quality",Neutral or unsure,Better product descriptions and images
Male,Rarely or Never,0-20 %,Always,Wide variety of products,Product reviews and ratings,Credit or debit card,"No preference, depends on the product",Amazon,Somewhat concerned,Occasionally participate,Moderately price-sensitive,5k to 10k,Electronics and gadgets,"No, I have not experienced any drawbacks","Mostly confident, with occasional concerns","Improved search and filtering options, Enhanced customer reviews and ratings system"
Male,Rarely or Never,0-20 %,Rarely or Never,Ease and Comfort of shopping from home,Brand reputation and trustworthiness,Cash on delivery (if available),"No preference, depends on the product",Others,Very concerned,Occasionally participate,Moderately price-sensitive,1k to 5k,Clothing and fashion accessories,"Yes, delayed or problematic deliveries",Neutral or unsure,Better product descriptions and images
Female,Once in a month,21-40 %,Always,Ease and Comfort of shopping from home,Product reviews and ratings,Cash on delivery (if available),Prefer local retailers,Daraz,Very concerned,Occasionally participate,Moderately price-sensitive,1k to 5k,Beauty and Personal care,"Yes, difficulty with returns or refunds","Mostly confident, with occasional concerns",Better product descriptions and images
Female,Once in a month,0-20 %,Always,Attractive discounts and promotions,Product reviews and ratings,Cash on delivery (if available),Prefer lnternational retailers,Daraz,Very concerned,Occasionally participate,Moderately price-sensitive,less than 1k,Clothing and fashion accessories,"Yes, issues with product quality","No, often concerned about product authenticity and quality",Better product descriptions and images
Female,Rarely or Never,0-20 %,Always,Ease and Comfort of shopping from home,Customer service and support,Cash on delivery (if available),"No preference, depends on the product",Others,Very concerned,Rarely or Never participate,Moderately price-sensitive,1k to 5k,Clothing and fashion accessories,"No, I have not experienced any drawbacks",Neutral or unsure,Better product descriptions and images
Male,Multiple times per week,61-80%,Always,User-friendly website/app interface,Product reviews and ratings,Cash on delivery (if available),"No preference, depends on the product",Daraz,Very concerned,Occasionally participate,Slightly price-sensitive,1k to 5k,Electronics and gadgets,"Yes, difficulty with returns or refunds","Yes, always confident in product authenticity and quality","Better product descriptions and images, Improved search and filtering options, Enhanced customer reviews and ratings system"
Male,Rarely or Never,0-20 %,Rarely or Never,Time-saving,Price and discounts,Bank transfers or direct deposits,"No preference, depends on the product",Others,Very concerned,Rarely or Never participate,Not price sensitive at all,5k to 10k,Electronics and gadgets,"Yes, issues with product quality","Yes, always confident in product authenticity and quality",Better product descriptions and images
Male,Rarely or Never,0-20 %,Always,Attractive discounts and promotions,Product reviews and ratings,Cash on delivery (if available),"No preference, depends on the product",Amazon,Very concerned,Rarely or Never participate,Moderately price-sensitive,1k to 5k,Electronics and gadgets,"Yes, issues with product quality","Mostly confident, with occasional concerns","Better product descriptions and images, Improved search and filtering options, Enhanced customer reviews and ratings system, More personalized recommendations"
Female,Once in a month,0-20 %,Occasionally,Attractive discounts and promotions,Product reviews and ratings,Cash on delivery (if available),Prefer local retailers,Others,Somewhat concerned,Occasionally participate,Moderately price-sensitive,1k to 5k,Clothing and fashion accessories,"Yes, delayed or problematic deliveries","Mostly confident, with occasional concerns",Enhanced customer reviews and ratings system
Female,Rarely or Never,0-20 %,Rarely or Never,User-friendly website/app interface,Price and discounts,Cash on delivery (if available),"No preference, depends on the product",Daraz,Very concerned,Rarely or Never participate,Moderately price-sensitive,1k to 5k,Clothing and fashion accessories,"No, I have not experienced any drawbacks","No, often concerned about product authenticity and quality","Better product descriptions and images, "
Female,Rarely or Never,0-20 %,Frequently,Attractive discounts and promotions,Price and discounts,Cash on delivery (if available),Prefer local retailers,Daraz,Very concerned,Occasionally participate,Moderately price-sensitive,less than 1k,Beauty and Personal care,"Yes, issues with product quality","Mostly confident, with occasional concerns",Better product descriptions and images
Female,Once in a month,41-60 %,Always,Ease and Comfort of shopping from home,Product reviews and ratings,Cash on delivery (if available),"No preference, depends on the product",Amazon,Very concerned,Rarely or Never participate,Extremely price-sensitive,1k to 5k,Beauty and Personal care,"Yes, issues with product quality",Neutral or unsure,"Better product descriptions and images, Improved search and filtering options, Enhanced customer reviews and ratings system, More personalized recommendations"
Male,Rarely or Never,0-20 %,Rarely or Never,Wide variety of products,Price and discounts,Cash on delivery (if available),"No preference, depends on the product",Others,Neutral,Rarely or Never participate,Not price sensitive at all,less than 1k,Electronics and gadgets,"Yes, issues with product quality",Neutral or unsure,Better product descriptions and images
Female,Once in a month,0-20 %,Always,Attractive discounts and promotions,Product reviews and ratings,Cash on delivery (if available),"No preference, depends on the product",Others,Very concerned,Occasionally participate,Moderately price-sensitive,1k to 5k,Clothing and fashion accessories,"Yes, issues with product quality",Neutral or unsure,Better product descriptions and images
Female,Once in a month,41-60 %,Always,Ease and Comfort of shopping from home,Brand reputation and trustworthiness,Credit or debit card,"No preference, depends on the product",Others,Very concerned,Always take advantage of promotions and discounts,Slightly price-sensitive,5k to 10k,Clothing and fashion accessories,"Yes, issues with product quality",Neutral or unsure,Enhanced customer reviews and ratings system
Male,Once in a month,21-40 %,Always,Ease and Comfort of shopping from home,Product reviews and ratings,Credit or debit card,Prefer lnternational retailers,Amazon,Very concerned,Always take advantage of promotions and discounts,Moderately price-sensitive,1k to 5k,Clothing and fashion accessories,"Yes, issues with product quality","Mostly confident, with occasional concerns","Better product descriptions and images, Enhanced customer reviews and ratings system"
Female,Multiple times per week,41-60 %,Occasionally,Attractive discounts and promotions,Product reviews and ratings,Cash on delivery (if available),"No preference, depends on the product",Others,Very concerned,Always take advantage of promotions and discounts,Extremely price-sensitive,1k to 5k,Clothing and fashion accessories,"Yes, delayed or problematic deliveries","Yes, always confident in product authenticity and quality",Better product descriptions and images
Male,Rarely or Never,21-40 %,Always,Attractive discounts and promotions,Product reviews and ratings,Cash on delivery (if available),"No preference, depends on the product",Daraz,Very concerned,Occasionally participate,Moderately price-sensitive,less than 1k,Clothing and fashion accessories,"Yes, issues with product quality","Mostly confident, with occasional concerns","Better product descriptions and images, Improved search and filtering options, Enhanced customer reviews and ratings system"
Female,Rarely or Never,21-40 %,Always,Ease and Comfort of shopping from home,Brand reputation and trustworthiness,Cash on delivery (if available),"No preference, depends on the product",Others,Neutral,Occasionally participate,Moderately price-sensitive,5k to 10k,Clothing and fashion accessories,"Yes, issues with product quality",Neutral or unsure,"Better product descriptions and images, Enhanced customer reviews and ratings system"
Female,Once in a week,0-20 %,Occasionally,Ease and Comfort of shopping from home,Price and discounts,Cash on delivery (if available),"No preference, depends on the product",Others,Very concerned,Always take advantage of promotions and discounts,Moderately price-sensitive,1k to 5k,Clothing and fashion accessories,"Yes, issues with product quality","Mostly confident, with occasional concerns",More personalized recommendations
Other,Rarely or Never,0-20 %,Occasionally,Time-saving,Brand reputation and trustworthiness,Cash on delivery (if available),"No preference, depends on the product",Others,Somewhat concerned,Rarely or Never participate,Slightly price-sensitive,5k to 10k,Clothing and fashion accessories,"Yes, issues with product quality","No, often concerned about product authenticity and quality",Better product descriptions and images
